arm,configuration,case,ssim,psnr,mse
weighted,n1,BraTS-GLI-01171-000,0.8737282752990723,21.68159294128418,0.006789544131606817
weighted,n1,BraTS-GLI-01490-000,0.8132873773574829,19.41065788269043,0.011453387327492237
weighted,n1,BraTS-GLI-00432-000,0.9735848903656006,22.881881713867188,0.004464846570044756
weighted,n1,BraTS-GLI-01328-000,0.755293607711792,17.864988327026367,0.016349373385310173
weighted,n1,BraTS-GLI-00694-001,0.6172431707382202,18.917709350585938,0.012830066494643688
weighted,n1,BraTS-GLI-01162-000,0.7548808455467224,20.18976593017578,0.009381345473229885
weighted,n1,BraTS-GLI-01236-000,0.9723988771438599,23.677915573120117,0.004287542309612036
weighted,n1,BraTS-GLI-01306-000,0.7144109606742859,15.089374542236328,0.01745034009218216
weighted,n1,BraTS-GLI-01208-000,0.6803076863288879,17.527448654174805,0.01217953022569418
weighted,n1,BraTS-GLI-00273-000,0.5364167094230652,16.59726333618164,0.02189139649271965
weighted,n1,BraTS-GLI-01018-000,0.5770728588104248,17.89957618713379,0.01621967740356922
weighted,n1,BraTS-GLI-00400-000,0.7147358059883118,20.538537979125977,0.007657334208488464
weighted,n1,BraTS-GLI-00613-000,0.5566747784614563,16.313844680786133,0.02336767129600048
weighted,n1,BraTS-GLI-00241-000,0.6164789795875549,17.337108612060547,0.018462441861629486
weighted,n1,BraTS-GLI-00504-000,0.8694590330123901,19.294763565063477,0.005936082452535629
weighted,n1,BraTS-GLI-00608-000,0.6985200047492981,18.438173294067383,0.014327901415526867
weighted,mean_n3,BraTS-GLI-00071-000,0.8507890105247498,17.675033569335938,0.017080340534448624
weighted,mean_n3,BraTS-GLI-01302-000,0.9331371784210205,21.576324462890625,0.006956126075237989
weighted,mean_n3,BraTS-GLI-00186-000,0.8135581016540527,15.241924285888672,0.01815245859324932
weighted,mean_n3,BraTS-GLI-01266-000,0.716277003288269,20.061763763427734,0.009858788922429085
weighted,mean_n3,BraTS-GLI-00085-000,0.760590672492981,19.225248336791992,0.011673432774841785
weighted,mean_n3,BraTS-GLI-00386-000,0.7895299792289734,21.320249557495117,0.005215988028794527
weighted,mean_n3,BraTS-GLI-01122-000,0.7972285151481628,17.75680923461914,0.016761742532253265
weighted,mean_n3,BraTS-GLI-00204-000,0.552976667881012,16.153789520263672,0.02424493432044983
weighted,mean_n3,BraTS-GLI-01110-000,0.689875066280365,18.136085510253906,0.015360006131231785
weighted,mean_n3,BraTS-GLI-01171-000,0.8785517811775208,22.117706298828125,0.006140862125903368
weighted,mean_n3,BraTS-GLI-01490-000,0.8294593095779419,19.87308692932129,0.010296535678207874
weighted,mean_n3,BraTS-GLI-00432-000,0.9737967252731323,22.936553955078125,0.0044089918956160545
weighted,mean_n3,BraTS-GLI-01328-000,0.7679324746131897,18.425886154174805,0.01436849869787693
weighted,mean_n3,BraTS-GLI-00694-001,0.6485939621925354,19.80195426940918,0.010466570034623146
